"200, 1 hilo","200, 2 hilos","200, 4 hilos","200, 6 hilos","200, 8 hilos","400, 1 hilo","400, 2 hilos","400, 4 hilos","400, 6 hilos","400, 8 hilos","800, 1 hilo","800, 2 hilos","800, 4 hilos","800, 6 hilos","800, 8 hilos","1000, 1 hilo","1000, 2 hilos","1000, 4 hilos","1000, 6 hilos","1000, 8 hilos","1500, 1 hilo","1500, 2 hilos","1500, 4 hilos","1500, 6 hilos","1500, 8 hilos","2000, 1 hilo","2000, 2 hilos","2000, 4 hilos","2000, 6 hilos","2000, 8 hilos","2500, 1 hilo","2500, 2 hilos","2500, 4 hilos","2500, 6 hilos","2500, 8 hilos","4000, 1 hilo","4000, 2 hilos","4000, 4 hilos","4000, 6 hilos","4000, 8 hilos"
978000,728415,146730,467076,828667,345504,946661,873490,915492,171460,2190926,1613991,1229682,773219,1263911,5626863,2562064,1930790,2023489,2327935,20690748,10612806,6857871,6475486,7046184,48924777,29017203,18904200,15321816,15501542,112304496,61575650,34840190,35933884,32935198,468536675,247997325,151279491,149543352,177587787
1010000,742352,156386,479363,839301,534315,1049768,939571,994349,237874,2193141,2161084,956387,1461210,967225,5065256,3084647,2459931,1490924,1958910,20796183,11147563,7023458,7139762,6533362,49342310,31352853,22110794,15693571,15834964,112584460,59072199,35968548,35718836,33386086,470346810,239124874,151850316,149119731,177179208
34500,756473,166325,491364,849929,725063,147683,1005249,1069357,304300,2145613,1401904,1707790,1178051,1655313,4734764,2596413,1995898,1911583,2596962,21117742,10471197,5971673,6230102,6811487,49040470,31076726,18712087,16863857,15560897,112325476,68913300,34643733,35554121,34126210,469281818,251478408,139055041,196407300,176694105
59500,770178,175885,503518,860235,913718,245819,70510,143712,370523,2171374,1629883,1368136,852418,1346448,5498528,2918910,1398235,2355121,2069708,20319394,10891984,6065501,6595369,7167783,49084852,34490743,19257399,15860285,15924020,111900406,64614643,35798411,36265419,32915222,467558161,256629051,147026449,204396095,179154700
84500,784546,185702,515542,871021,1101725,343364,136075,217476,437082,2286605,1822816,1032701,1655823,1081916,5136722,3246200,1794140,2094473,1531518,20628812,11246759,6476742,7030069,6871109,48473525,26283398,21674983,16112163,15833692,112661767,60659325,35587731,36158421,33269991,469886779,247366715,146081215,205727568,176324240
109500,798236,195121,527598,881546,292417,440226,201180,293173,503706,2333490,1886383,748271,1338876,882828,4872289,2794893,2208880,1766778,1989128,21005337,10732483,6581125,6043384,7132765,48746104,31911112,19201249,15023484,16259775,112744745,61376513,35516469,35498904,33614034,466693932,248256345,169537133,203637645,178566151
134500,811992,205101,539749,892052,481022,537507,267798,368000,570531,2309335,1951575,1408610,1015497,1736442,5433826,3385032,1673652,2417785,1582017,20598784,11216714,6725531,6430147,6672218,49459344,27441123,19177074,15937756,15263941,113340143,60516606,35432789,35479805,33763145,467873027,251583699,151677905,194919506,179880510
159500,825903,215414,551855,902893,669504,636317,338110,443889,636778,2372247,2027692,1289111,796405,1518134,5180053,2740642,2179287,1870832,2219297,21012783,10656946,6752251,6820506,7179507,49044973,32419061,19559871,15310865,15890399,112490186,64092384,35403731,36327869,33908117,467797654,264976545,150208776,209222744,177020427
185500,839750,225033,563984,913146,860111,733625,403984,518570,704243,2432972,1114357,943370,1681325,1293334,4695045,3111614,1780046,2399623,1842010,20174373,13407736,6827052,6934319,6259853,49028056,29514686,21477924,15999124,15952358,112359859,71454084,35279933,35152129,33589786,468716825,260128172,147298539,200485665,177985080
211000,853828,234494,576178,923534,1049268,831996,473056,593374,771376,2535477,1214801,1650211,1510136,1066781,5471216,2633062,2264071,1851150,2418122,20507267,10821304,6865521,7795013,6856241,49060758,28984965,18913687,15317808,15668228,112581820,64502745,34901982,36186495,34003502,469215976,249911320,149036441,202964071,176863146
