"200, 1 hilo","200, 2 hilos","200, 4 hilos","200, 6 hilos","200, 8 hilos","400, 1 hilo","400, 2 hilos","400, 4 hilos","400, 6 hilos","400, 8 hilos","800, 1 hilo","800, 2 hilos","800, 4 hilos","800, 6 hilos","800, 8 hilos","1000, 1 hilo","1000, 2 hilos","1000, 4 hilos","1000, 6 hilos","1000, 8 hilos","1500, 1 hilo","1500, 2 hilos","1500, 4 hilos","1500, 6 hilos","1500, 8 hilos","2000, 1 hilo","2000, 2 hilos","2000, 4 hilos","2000, 6 hilos","2000, 8 hilos","2500, 1 hilo","2500, 2 hilos","2500, 4 hilos","2500, 6 hilos","2500, 8 hilos","4000, 1 hilo","4000, 2 hilos","4000, 4 hilos","4000, 6 hilos","4000, 8 hilos"
136045,912872,373737,685533,21058,555234,567654,823800,1054936,247876,1997771,1316404,1266481,719678,617613,3907456,1940835,1747548,1666410,1166563,15988481,8205041,6219614,4019320,3504823,29962073,18683766,14660325,9102952,8512030,55252980,27312566,19281045,19390802,18163925,197065204,129297409,79415509,78889749,74903954
161740,927684,382819,695993,30792,766194,676424,919843,127491,312520,1633789,1172847,787371,1291916,1171241,4137211,2674788,1687007,1734183,1173478,10312652,8116971,3530280,3625740,3913434,28192673,18395458,10859907,8727089,8334044,57853882,27474121,18337107,18384957,18106263,190721693,136525478,83020458,78843267,74517763
187666,942350,391599,707351,40683,971220,787858,976531,199787,381115,2275335,1017273,1404680,852701,715105,3374842,2312976,4500075,1716993,1216867,15306079,8230579,6206833,4009738,4271440,27685190,17585554,11054077,9168922,8215606,58760468,25533157,20898629,20273308,17496369,188211309,130232812,80493465,79329951,75001755
213566,957387,401354,718932,51125,1173023,899771,1037404,270774,445834,1923583,916125,949363,1407086,1220550,3580315,1991507,1403634,1853525,1205914,10622479,7793233,5562974,3749099,3649641,27829629,18778141,12022750,8641838,8236454,53336236,27692961,20608068,18524405,19654531,187643712,125628697,81116810,79185791,73959460
240873,971822,410667,729621,60439,371970,1005697,99782,343382,508563,2541634,1760805,1492558,919779,732118,3786531,3976657,1322261,1921815,1206516,13870834,6300843,3601771,4437271,4074387,32713392,18049197,9594624,9118339,8325895,57809219,25438386,21457720,18542237,18415810,188453629,135453563,81884458,76120380,74387484
267899,985788,420258,741785,71282,579465,120859,162176,416596,579832,2216731,1677522,1039881,1501620,1272392,4013164,1680968,1241278,2035139,1208080,11162500,8221319,6692047,4178933,3415094,29745542,18051704,8833558,8493134,8213287,53151849,27287270,19118759,20680545,17824715,188118262,131904570,80513870,79916124,74746909
294099,1000242,429087,752998,81076,780528,237722,223317,492631,649669,1884286,1555835,582887,1071531,799927,5338555,2323955,1169183,1090868,1199011,12786314,7912056,6504389,3830315,3774283,27688131,19796932,10062777,9072366,8100650,53613344,27514199,18961734,18933769,18585303,187566678,133576861,82868863,82652330,75679141
320065,14111,439274,763785,92480,976327,352369,287406,567102,718715,2550456,1428659,1161330,631071,1288823,3474610,2055135,2634576,1193385,1196656,13318307,8646568,3537137,4469536,4167678,27320838,18107907,9105783,8635798,8152760,53195756,25578990,18927044,17715749,18995967,188218554,133251041,80495716,82509730,74969850
345244,30171,449325,775409,102527,1183483,464599,352382,639834,789497,2178548,1310215,702986,1197802,800083,3638510,1644122,2441264,1294506,1149332,12854102,8785400,6158921,4381440,3590830,29417653,17414949,8657814,8708981,7995848,57144768,25064433,18887428,18770692,17448670,187831241,133949275,83906058,80049670,74892569
371536,45740,458793,786056,111531,382942,571264,417771,714480,860834,1793088,1188595,1249385,766756,1301103,3789225,2260663,1347155,1378000,1122570,13591669,6255462,3202179,4028061,3841586,27284247,18343546,9635112,8921542,7865963,54910853,22292818,19698163,18535714,17344412,187996936,131548725,79753857,79087100,74145706
397315,70787,469558,796786,123092,577795,678161,484129,786545,927908,2432548,1030468,876905,1336836,815163,3922484,1993582,1652453,1447808,1112832,10926111,9757521,5499482,3632251,4249445,29304654,17955450,9009990,8519962,8700869,52409694,27729416,21762649,21462563,17295982,187459301,131223358,83431445,77023384,75168456
424798,85569,480666,808423,134304,776884,792427,552212,859550,992268,2072953,877221,1421079,913214,1308059,4110032,3847235,1565788,1544898,1141596,13819229,8672851,5891192,4277901,3730051,24820241,17641657,8417700,8946875,8687057,52573616,33308443,19459464,18833286,17780075,188041622,136745446,82925127,79944053,72083675
451542,100667,490794,820427,143462,984159,901130,658589,932767,1060444,1679970,1789012,957994,1485944,824348,5452678,2563372,1504492,1597581,1158743,11321632,8474632,4057753,3809123,4034892,27662343,18752702,8929430,8197404,8554361,53059947,28992185,21219919,19227985,18395662,188148498,136190930,83853629,80701814,76006249
477349,115122,500851,831140,154604,1193033,1009611,724783,1004368,126952,2339139,4313263,1493590,1048893,1332774,3600565,2236586,1434280,1723145,1187464,12957310,8293717,5764262,4447386,3455861,29631542,18032504,8310647,8415680,8608721,57343409,30767116,19681548,19454150,18328396,188001345,135322284,78615213,80852125,74365404
503981,129411,510274,842650,164485,390360,117414,790967,78246,195596,1975873,1143668,1025153,620978,832756,3762447,1836371,3582694,1762605,1174048,13676517,5934774,3865433,4008413,3786492,29974334,17442204,8784834,8999523,8642691,55293832,33487589,21380756,18644523,17720890,187797042,130138334,80377714,78356983,74641387
530353,143941,520749,853415,175280,590885,229929,858374,153306,265294,2546477,968935,560455,1185482,1354948,3904500,2571995,1473557,1883782,1173143,13337289,6505420,6200816,3647624,4024088,27195528,19006865,9222977,8151275,8544988,53277066,29042110,19068428,19512962,20397763,187514330,131068215,82861518,76519751,74889775
558532,159558,530353,864084,185660,793109,340146,926393,225409,332089,2122459,1793158,1088674,756320,874125,3991400,2324788,1406252,1983941,1170042,10696746,8250388,4213555,4114465,3521545,29861976,17343082,9538550,8539524,8394823,49341716,31321612,20507551,17925112,17670568,188565784,133534061,82915435,77831971,74547865
585927,174212,540777,875815,195082,994226,446838,996950,298380,400136,1761650,1617107,621637,1325375,1394255,3154272,1987241,1359781,1059942,1157367,13931133,8559411,4965280,3902531,3842309,32399314,18187455,8943307,9056829,8342262,50849918,32090062,21556677,22177712,18192510,188108047,136269013,83490307,77192856,74518891
612601,189183,551597,886973,205835,1201461,555998,66340,370223,465783,2433388,1428621,1152383,894180,914971,5961587,1690227,1309297,1132923,1150498,13558635,8328689,3320925,4382308,4119738,27137802,18089559,8393325,8716582,8489382,53102507,33018385,19478661,18885142,19337418,187526800,136751993,80705726,81536662,74336292
639480,204184,561405,898634,215941,404091,665927,168466,444786,533504,2070675,1268182,684011,1450638,1437366,4052853,2324040,3435957,1227826,1138429,10801050,5781304,5623744,3985732,3449530,27091658,17655822,8837865,9027264,8283254,57649606,31626572,19152346,22051415,17599728,190727286,135664358,83291885,77730817,75046302
664084,219292,575755,910215,225472,623090,783577,271479,515838,599732,1711590,1122895,1309453,1008480,995626,3127182,4667854,1367285,1320805,1145733,13676409,8698734,3883677,3570087,3943181,27319523,18481312,9212502,8280267,8291689,52788225,28750043,20790138,15644061,20118099,199277234,133292191,81435678,79221401,74156513
691005,235301,586058,921410,236152,823504,889668,373388,588322,671141,2352807,978384,841609,569234,520434,3319872,2326180,1277328,1425463,1195897,10942219,6243403,4416041,4182598,4260177,29957730,18220323,8881164,8900279,8239502,55477154,31344676,19748721,18965237,17454629,199079344,130822919,80719631,77826512,74842997
719182,250843,595986,932579,245597,1030024,993342,437450,663560,735181,1994308,1816251,1385531,1130951,1031095,5631093,1987411,1224018,1578585,1250785,14043364,8159190,3990807,3716235,3684597,24404111,17842686,9321950,9316760,8229504,55961223,28899494,19054040,18289475,19545473,194820258,132405131,84578861,82159735,73976558
744274,265968,606286,943529,255905,226988,1103652,502772,734625,808350,1605177,1668319,925036,693381,559703,3664094,1659670,1264420,1699964,1283587,12608637,8580312,3509331,4366562,3961462,27176334,20849102,8697978,8783273,8045451,55393362,33948730,18922905,19554027,17892873,191758924,131926985,80295971,79853109,72640943
770747,281607,616457,954465,266631,426941,209060,568917,806297,881210,2278810,1522092,1469123,1251717,1075497,3755625,2325117,1201584,1792217,1298904,13172431,8284237,4029208,4011175,3304464,31482980,18795414,9044483,9126732,8065674,55839959,30938244,18800252,18909823,19947449,191457713,133359998,81204316,76458571,74648243
795844,297642,625862,965428,276831,637639,321556,663165,881066,946005,1951871,1380782,1006717,801045,597792,3902588,1944496,1150422,1898974,1276280,10434187,5649458,3690366,3735460,3664155,27270356,16021556,8446037,8730300,8001524,51506777,31207324,21295207,19039521,17428036,191790266,132068391,81559907,77989655,74785322
821389,312888,640449,976320,289106,847420,430071,764790,954217,1014885,2581367,1236120,552346,1373762,1118574,4022428,2707438,1141721,2006229,1289171,13043668,8805300,4591858,4359321,4034057,30047230,18042597,8823501,9003610,8090097,54944923,31720535,19723680,19211131,18468724,187811714,135068799,83556489,77865200,73102551
847007,328966,650778,987347,300086,1045321,546130,852052,1032864,83353,2200738,1067204,1094163,943891,609259,3187810,4626133,1205481,1074907,1296612,12666755,8975927,4377580,3978616,3489135,24334091,17819218,9305302,8654691,8061354,55028615,31628155,21506948,16597358,17909156,187439265,129659024,80738134,77595876,72007076
873063,344808,660241,998488,309518,254103,657255,916427,107071,150727,1824211,962734,637595,1513071,1116341,3252966,2245558,1279134,1148520,1259753,11070652,7671347,3887923,3625692,3893581,30822556,18757221,9021368,8963448,8069417,57701603,31558128,18718686,18876084,16708558,188068523,134240918,82189163,78645276,74548075
898602,360647,674611,9234,322782,466247,765993,983167,181617,218300,2426860,1802260,1181065,1102603,645351,3324024,1847368,1562383,1217888,1236564,10376601,6333077,4486476,4141802,4269989,29436022,18831596,8440577,8471704,7926160,51056382,31552402,20218892,19802352,17779273,188180450,136680079,80926307,77060749,75130712
